player_name,hand,height_cm,wingspan_cm,nationality
Jose Francisco Altur,L,190.0,,ESP
Josselin Ouanna,R,193.0,,FRA
Jozef Kovalik,R,183.0,,SVK
Juan Aguilera,R,183.0,,ESP
Juan Albert Viloca Puig,R,185.0,,ESP
Juan Antonio Marin,R,175.0,,CRC
Juan Balcells,R,190.0,,ESP
Juan Carlos Ferrero,R,183.0,185.0,ESP
Juan Gisbert Jr,R,198.0,,ESP
Juan Ignacio Chela,R,190.0,,ARG
Juan Ignacio Londero,R,180.0,,ARG
Juan Luis Tati Rascon,R,,,ESP
Juan Manuel Cerundolo,L,183.0,,ARG
Juan Martin del Potro,R,198.0,198.0,ARG
Juan Monaco,R,185.0,,ARG
Juan Pablo Varillas,R,185.0,,PER
Julian Alonso,R,185.0,,ESP
Julian Knowle,L,188.0,,AUT
Julien Benneteau,R,185.0,,FRA
Julien Boutter,R,190.0,,FRA
Juncheng Shang,L,180.0,,CHN
Jurgen Melzer,L,183.0,185.0,AUT
Jurgen Zopp,R,190.0,,EST
Jurij Rodionov,L,191.0,,AUT
Justin Gimelstob,R,196.0,,USA
Kamil Majchrzak,R,180.0,,POL
Karel Novacek,R,190.0,,CZE
Karen Khachanov,R,198.0,196.0,RUS
Karim Alami,R,185.0,,MAR
Karol Beck,R,180.0,,SVK
Karol Kucera,R,188.0,,SVK
Karsten Braasch,L,180.0,,GER
Kei Nishikori,R,178.0,,JPN
Keith Evans,R,188.0,,USA
Kelly Evernden,R,175.0,,NZL
Kelly Jones,R,185.0,,USA
Ken Flach,R,185.0,,USA
Kenneth Carlsen,L,190.0,,DEN
Kenny De Schepper,L,203.0,,FRA
Kenny Thorne,R,188.0,,USA
Kevin Anderson,R,203.0,203.0,RSA
Kevin Curren,R,185.0,,USA
Kevin Kim,R,180.0,,USA
Kevin Ullyett,R,178.0,,ZIM
Kim Tiilikainen,R,180.0,,FIN
Konstantin Kravchuk,R,190.0,,RUS
Krister Wedenby,L,185.0,,SWE
Kristian Pless,R,188.0,,DEN
Kristof Vliegen,R,193.0,,BEL
Kyle Edmund,R,188.0,,GBR
Lars Anders Wahlgren,R,193.0,,SWE
Lars Burgsmuller,R,183.0,,GER
Lars Jonsson,R,188.0,,SWE
Lars Koslowski,R,188.0,,GER
Lars Rehmann,R,196.0,,GER
Laslo Djere,R,188.0,,SRB
Laurence Tieleman,R,180.0,,ITA
Lawson Duncan,R,185.0,,USA
Leander Paes,R,178.0,,IND
Leandro Riedi,R,191.0,,SUI
Leif Shiras,R,183.0,,USA
Leonardo Lavalle,L,188.0,,MEX
Leonardo Mayer,R,188.0,,ARG
Li Tu,R,183.0,,AUS
Liam Broady,L,183.0,,GBR
Libor Nemecek,R,168.0,,CZE
Libor Pimek,R,196.0,,BEL
Lionel Roux,R,185.0,,FRA
Lleyton Hewitt,R,180.0,180.0,AUS
Lloyd Harris,R,193.0,,RSA
Lorenzo Musetti,R,185.0,185.0,ITA
Lorenzo Sonego,R,191.0,188.0,ITA
Louis Gloria,L,175.0,,USA
Luca Nardi,R,185.0,,ITA
Luca Van Assche,R,178.0,,FRA
Luca Vanni,R,198.0,,ITA
Lucas Arnold Ker,R,180.0,,ARG
Lucas Catarina,R,185.0,,MON
Lucas Pouille,R,185.0,188.0,FRA
Luciano Darderi,R,183.0,,ITA
Luis Herrera,L,170.0,,MEX
Luis Horna,R,180.0,,PER
Luiz Mattar,R,183.0,,BRA
Lukas Dlouhy,R,185.0,,CZE
Lukas Klein,R,193.0,,SVK
Lukas Lacko,R,185.0,,SVK
Lukas Rosol,R,193.0,,CZE
Lukasz Kubot,R,190.0,,POL
Luke Jensen,U,190.0,,USA
Mackenzie Mcdonald,R,178.0,,USA
Magnus Gustafsson,R,185.0,,SWE
Magnus Larsson,R,193.0,,SWE
Magnus Norman,R,188.0,,SWE
Malek Jaziri,R,185.0,,TUN
Malivai Washington,R,180.0,,USA
Mao Xin Gong,R,178.0,,CHN
Marat Safin,R,193.0,,RUS
Marc Andrea Huesler,L,196.0,,SUI
Marc Gicquel,R,188.0,,FRA
Marc Kevin Goellner,R,196.0,,GER
Marc Rosset,R,201.0,,SUI
Marcel Granollers,R,190.0,,ESP
Marcello Craca,R,180.0,,GER
Marcelo Charpentier,L,180.0,,ARG
Marcelo Filippini,R,178.0,,URU
Marcelo Rios,L,175.0,183.0,CHI
Marcio Carlsson,R,175.0,,BRA
Marco Cecchinato,R,185.0,,ITA
Marco Chiudinelli,R,185.0,,SUI
Marco Crugnola,R,188.0,,ITA
Marco Meneschincheri,L,180.0,,ITA
Marco Trungelliti,R,178.0,,ARG
Marcos Aurelio Gorriz,L,185.0,,ESP
Marcos Baghdatis,R,183.0,,CYP
Marcos Daniel,R,180.0,,BRA
Marcos Giron,R,180.0,,USA
Marcos Ondruska,R,183.0,,RSA
Mardy Fish,R,188.0,183.0,USA
Marian Vajda,R,173.0,,SVK
Mariano Navone,R,178.0,,ARG
Mariano Puerta,L,180.0,,ARG
Mariano Zabaleta,R,183.0,,ARG
Marin Cilic,R,198.0,196.0,CRO
Marinko Matosevic,R,194.0,,AUS
Mario Ancic,R,196.0,,CRO
Marius Copil,R,191.0,,ROU
Mark Kaplan,R,185.0,,RSA
Mark Knowles,R,190.0,,BAH
Mark Koevermans,R,185.0,,NED
Mark Kratzmann,L,178.0,,AUS
Mark Merklein,R,188.0,,BAH
Mark Petchey,R,183.0,,GBR
Mark Philippoussis,R,196.0,193.0,AUS
Mark Woodforde,L,188.0,,AUS
Markus Hantschk,R,188.0,,GER
Markus Hipfl,R,178.0,,AUT
Markus Naewie,R,190.0,,GER
Markus Zillner,L,178.0,,GER
Markus Zoecke,R,196.0,,GER
Marsel Ilhan,R,190.0,,TUR
Martin Blackman,R,188.0,,USA
Martin Damm,L,203.0,,USA
Martin Damm Sr,R,188.0,,CZE
Martin Jaite,R,178.0,,ARG
Martin Klizan,L,191.0,,SVK
Martin Landaluce,R,191.0,,ESP
Martin Laurendeau,R,190.0,,CAN
Martin Lee,L,180.0,,GBR
Martin Sinner,R,180.0,,GER
Martin Strelba,R,190.0,,CZE
Martin Vassallo Arguello,R,183.0,,ARG
Martin Verkerk,R,196.0,,NED
Martin Wostenholme,R,183.0,,CAN
Marton Fucsovics,R,188.0,,HUN
Marzio Martelli,R,180.0,,ITA
Mashiska Washington,R,180.0,,USA
Massimo Cierro,R,173.0,,ITA
Massimo Dellacqua,R,193.0,,ITA
Mats Wilander,R,183.0,183.0,SWE
Matteo Arnaldi,R,185.0,,ITA
Matteo Berrettini,R,196.0,193.0,ITA
Matteo Donati,R,185.0,,ITA
Matteo Gigante,L,180.0,,ITA
Matteo Viola,R,188.0,,ITA
Matthew Ebden,R,188.0,,AUS
Matthias Bachinger,R,188.0,,GER
Mattia Bellucci,L,175.0,,ITA
Maurice Ruah,R,178.0,,VEN
Mauricio Hadad,R,170.0,,COL
Max Mirnyi,R,196.0,,BLR
Max Purcell,R,185.0,,AUS
Maxime Cressy,R,201.0,,USA
Maximilian Abel,R,,,GER
Maximilian Marterer,L,188.0,,GER
Maximo Gonzalez,R,173.0,,ARG
Michael Berrer,L,193.0,,GER
Michael Chang,R,175.0,172.0,USA
Michael Joyce,R,180.0,,USA
Michael Kohlmann,R,188.0,,GER
Michael Lammer,R,185.0,,SUI
Michael Llodra,L,190.0,,FRA
Michael Mmoh,R,188.0,,USA
Michael Russell,R,173.0,,USA
Michael Sell,R,180.0,,USA
Michael Stich,R,193.0,,GER
Michael Tebbutt,L,190.0,,AUS
Michael Yani,R,185.0,,USA
Michal Przysiezny,R,185.0,,POL
Michal Tabara,R,175.0,,CZE
Michel Kratochvil,R,185.0,,SUI
Michiel Schapers,R,201.0,,NED
Mikael Pernfors,R,173.0,,SWE
Mikael Stadling,L,188.0,,SWE
Mikael Tillstrom,R,185.0,,SWE
Mikael Ymer,R,183.0,,SWE
Mikhail Kukushkin,R,183.0,,KAZ
Mikhail Youzhny,R,183.0,,RUS
Milan Srejber,R,203.0,,CZE
Milos Raonic,R,196.0,204.0,CAN
Miloslav Mecir,R,190.0,,SVK
Miomir Kecmanovic,R,183.0,,SRB
Mirza Basic,R,188.0,,BIH
Mischa Zverev,L,190.0,,GER
Mitchell Krueger,R,188.0,,USA
Mose Navarra,L,180.0,,ITA
Neil Borwick,L,193.0,,AUS
Neville Godwin,R,173.0,,RSA
Nick Kyrgios,R,193.0,193.0,AUS
Nicklas Kroon,R,183.0,,SWE
Nicklas Kulti,R,190.0,,SWE
Nicola Kuhn,R,185.0,,GER
Nicolas Almagro,R,183.0,,ESP
Nicolas Coutelot,R,185.0,,FRA
Nicolas Devilder,L,173.0,,FRA
Nicolas Escude,R,185.0,,FRA
Nicolas Jarry,R,201.0,,CHI
Nicolas Kicker,R,178.0,,ARG
Nicolas Kiefer,R,183.0,,GER
Nicolas Lapentti,R,188.0,,ECU
Nicolas Mahut,R,190.0,188.0,FRA
Nicolas Massu,R,183.0,,CHI
Nicolas Moreno De Alboran,R,185.0,,USA
Nicolas Pereira,R,188.0,,VEN
Nikolay Davydenko,R,178.0,178.0,RUS
Nikoloz Basilashvili,R,185.0,,GEO
Noah Rubin,R,175.0,,USA
Noam Behr,L,188.0,,ISR
Noam Okun,R,185.0,,ISR
Norbert Gombos,R,193.0,,SVK
Novak Djokovic,R,188.0,188.0,SRB
Nuno Borges,R,185.0,,POR
Nuno Marques,L,190.0,,POR
Oleg Ogorodov,R,193.0,,UZB
Oliver Gross,R,185.0,,GER
Olivier Delaitre,R,170.0,,FRA
Olivier Mutis,R,175.0,,FRA
Olivier Patience,R,180.0,,FRA
Olivier Rochus,R,168.0,,BEL
Omar Camporese,R,188.0,,ITA
Orlin Stanoytchev,R,185.0,,BUL
Oscar Burrieza,R,170.0,,ESP
Oscar Hernandez,R,180.0,,ESP
Oscar Martinez,R,185.0,,ESP
Oscar Otte,R,193.0,,GER
Pablo Andujar,R,180.0,,ESP
Pablo Campana,R,180.0,,ECU
Pablo Carreno Busta,R,188.0,183.0,ESP
Pablo Cuevas,R,180.0,,URU
Pablo Llamas Ruiz,R,188.0,,ESP
Paolo Cane,R,180.0,,ITA
Paolo Lorenzi,R,183.0,,ITA
Paradorn Srichaphan,R,185.0,,THA
Pat Cash,R,183.0,,AUS
Patricio Arnold,R,183.0,,ARG
Patrick Baur,R,188.0,,GER
Patrick Kypson,R,188.0,,USA
Patrick McEnroe,R,183.0,,USA
Patrick Rafter,R,185.0,185.0,AUS
Patrik Fredriksson,R,185.0,,SWE
Patrik Kuhnen,R,190.0,,GER
Paul Annacone,R,185.0,,USA
Paul Capdeville,R,190.0,,CHI
Paul Chamberlin,R,178.0,,USA
Paul Goldstein,R,178.0,,USA
Paul Haarhuis,R,188.0,,NED
Paul Henri Mathieu,R,185.0,,FRA
Paul Kilderry,R,175.0,,AUS
Paul Wekesa,R,188.0,,KEN
Pavel Kotov,R,191.0,,RUS
Pedro Cachin,R,185.0,,ARG
Pedro Martinez,R,185.0,,ESP
Pedro Sousa,R,180.0,,POR
Pere Riba,R,183.0,,ESP
Pete Sampras,R,185.0,188.0,USA
Peter Gojowczyk,R,188.0,,GER
Peter Luczak,R,183.0,,AUS
Peter Lundgren,R,185.0,,SWE
Peter Polansky,R,180.0,,CAN
Peter Tramacchi,R,185.0,,AUS
Peter Wessels,R,196.0,,NED
Petr Korda,L,190.0,,CZE
Philip Bester,R,188.0,,CAN
Philip Gubenco,L,188.0,,CAN
Philip Sekulic,R,191.0,,AUS
Philipp Kohlschreiber,R,178.0,,GER
Philipp Petzschner,R,185.0,,GER
Pier Gauthier,R,185.0,,FRA
Pierre Hugues Herbert,R,188.0,,FRA
Pierre Ludovic Duclos,R,188.0,,CAN
Pieter Aldrich,R,180.0,,RSA
Potito Starace,R,188.0,,ITA
Prajnesh Gunneswaran,L,188.0,,IND
Quentin Halys,R,191.0,,FRA
Radek Stepanek,R,185.0,,CZE
Radomir Vasek,R,188.0,,CZE
Radu Albot,R,175.0,,MDA
Raemon Sluiter,R,185.0,,NED
Rafael Nadal,L,185.0,188.0,ESP
Rainer Schuettler,R,180.0,,GER
Rajeev Ram,R,193.0,,USA
Ramesh Krishnan,R,170.0,,IND
Ramkumar Ramanathan,R,188.0,,IND
Ramon Delgado,R,185.0,,PAR
Reilly Opelka,R,211.0,211.0,USA
Renzo Furlan,R,175.0,,ITA
Renzo Olivo,R,178.0,,ARG
Rhyne Williams,R,185.0,,USA
Ricardas Berankis,R,175.0,,LTU
Ricardo Mello,L,175.0,,BRA
Richard Fromberg,R,196.0,,AUS
Richard Gasquet,R,185.0,183.0,FRA
Richard Krajicek,R,196.0,199.0,NED
Richard Matuszewski,R,188.0,,USA
Richard Schmidt,R,185.0,,USA
Richey Reneberg,R,180.0,,USA
Rick Leach,L,188.0,,USA
Rigele Te,R,188.0,,CHN
Rik De Voest,R,180.0,,RSA
Rikard Bergh,L,188.0,,SWE
Rinky Hijikata,R,178.0,,AUS
Rob Steckley,R,,,CAN
Robbie Koenig,R,173.0,,RSA
Robbie Weiss,R,183.0,,USA
Robby Ginepri,R,183.0,183.0,USA
Robert Kendrick,R,190.0,,USA
Robert Kroll,R,,,GER
Robert Seguso,R,190.0,,USA
Roberto Azar,L,185.0,,ARG
Roberto Bautista Agut,R,183.0,180.0,ESP
Roberto Carballes Baena,R,183.0,,ESP
Roberto Carretero,R,178.0,,ESP
Roberto Jabali,R,190.0,,BRA
Roberto Marcora,R,193.0,,ITA
Robin Haase,R,190.0,,NED
Robin Soderling,R,193.0,193.0,SWE
Robin Vik,R,183.0,,CZE
Rodolphe Gilbert,L,183.0,,FRA
Roger Federer,R,185.0,186.0,SUI
Roger Smith,R,185.0,,BAH
Rogerio Dutra Silva,R,178.0,,BRA
Rohan Bopanna,R,193.0,,IND
Roland Burtscher,R,183.0,,AUT
Roman Safiullin,R,185.0,,RUS
Ronald Agenor,R,180.0,,USA
Ruben Bemelmans,L,183.0,,BEL
Ruben Ramirez Hidalgo,R,183.0,,ESP
Rudiger Haas,R,193.0,,GER
Rui Machado,R,178.0,,POR
Ryan Harrison,R,183.0,,USA
Ryan Sweeting,R,196.0,,USA
Salvatore Caruso,R,185.0,,ITA
Sam Groth,R,193.0,,AUS
Sam Querrey,R,198.0,196.0,USA
Sam Warburg,R,190.0,,USA
Sandon Stolle,R,193.0,,AUS
Sandor Noszaly,R,193.0,,HUN
Santiago Giraldo,R,188.0,,COL
Santiago Ventura,R,183.0,,ESP
Sargis Sargsian,R,180.0,,ARM
Sasa Hirszon,R,185.0,,CRO
Sascha Nensel,R,180.0,,GER
Scott Davis,R,188.0,,USA
Scott Draper,L,178.0,,AUS
Scott Humphries,R,185.0,,USA
Sebastian Baez,R,170.0,,ARG
Sebastian Korda,R,196.0,193.0,USA
Sebastian Ofner,R,191.0,,AUT
Sebastian Prieto,R,180.0,,ARG
Sebastien Grosjean,R,175.0,,FRA
Sebastien Lareau,R,183.0,,CAN
Sebastien Leblanc,L,193.0,,CAN
Seong Chan Hong,R,175.0,,KOR
Sergei Bubka,R,188.0,,UKR
Sergi Bruguera,R,188.0,,ESP
Sergio Casal,R,185.0,,ESP
Sergio Cortes,R,170.0,,CHI
Sergio Roitman,R,185.0,,ARG
Sergiy Stakhovsky,R,193.0,,UKR
Shao Xuan Zeng,R,185.0,,CHN
Shintaro Mochizuki,R,175.0,,JPN
Shuzo Matsuoka,R,185.0,,JPN
Simon Greul,R,185.0,,GER
Simon Larose,R,190.0,,CAN
Simon Youl,R,185.0,,AUS
Simone Bolelli,R,183.0,,ITA
Sjeng Schalken,R,193.0,,NED
Slava Dosedel,R,183.0,,CZE
Slobodan Zivojinovic,R,198.0,,YUG
Somdev Devvarman,R,180.0,,IND
Soon Woo Kwon,R,180.0,,KOR
Stan Wawrinka,R,183.0,,SUI
Stefan Edberg,R,188.0,188.0,SWE
Stefan Koubek,L,175.0,,AUT
Stefan Kozlov,R,183.0,,USA
Stefano Galvani,R,178.0,,ITA
Stefano Napolitano,R,196.0,,ITA
Stefano Pescosolido,R,185.0,,ITA
Stefano Travaglia,R,185.0,,ITA
Stefanos Tsitsipas,R,193.0,190.0,GRE
Stephane Bohli,R,185.0,,SUI
Stephane Huet,L,180.0,,FRA
Stephane Robert,R,185.0,,FRA
Stephane Simian,L,193.0,,FRA
Steve Bryan,R,178.0,,USA
Steve Campbell,R,183.0,,USA
Steve Darcis,R,178.0,,BEL
Steve Devries,R,180.0,,USA
Steve Herdoiza,R,,,USA
Steve Johnson,R,188.0,,USA
Steven Diez,R,175.0,,CAN
Sule Ladipo,R,180.0,,NGR
Sumit Nagal,R,178.0,,IND
Tallon Griekspoor,R,188.0,,NED
Tamer El Sawy,R,188.0,,EGY
Taro Daniel,R,191.0,,JPN
Tatsuma Ito,R,180.0,,JPN
Taylor Dent,R,188.0,,USA
Taylor Fritz,R,196.0,193.0,USA
Tennys Sandgren,R,188.0,,USA
Terence Atmane,L,193.0,,FRA
Teymuraz Gabashvili,R,188.0,,RUS
Thanasi Kokkinakis,R,193.0,,AUS
Thiago Alves,R,178.0,,BRA
Thiago Monteiro,L,183.0,,BRA
Thiago Seyboth Wild,R,185.0,,BRA
Thiemo De Bakker,R,193.0,,NED
Thierry Ascione,R,188.0,,FRA
Thierry Champion,R,183.0,,FRA
Thierry Guardiola,R,188.0,,FRA
Thierry Tulasne,R,178.0,,FRA
Thomas Enqvist,R,190.0,,SWE
Thomas Fabbiano,R,173.0,,ITA
Thomas Gollwitzer,R,178.0,,GER
Thomas Hogstedt,R,190.0,,SWE
Thomas Johansson,R,180.0,,SWE
Thomas Muster,L,180.0,183.0,AUT
Thomaz Bellucci,L,188.0,,BRA
Tim Henman,R,185.0,183.0,GBR
Tim Mayotte,R,190.0,,USA
Tim Smyczek,R,175.0,,USA
Tim Wilkison,L,180.0,,USA
Tobias Kamke,R,180.0,,GER
Tobias Summerer,R,185.0,,GER
Todd Larkham,R,178.0,,AUS
Todd Martin,R,198.0,,USA
Todd Reid,R,180.0,,AUS
Todd Widom,R,,,USA
Todd Witsken,R,183.0,,USA
Todd Woodbridge,R,178.0,,AUS
Tom Nijssen,R,175.0,,NED
Tomas Anzari,R,180.0,,CZE
Tomas Behrend,R,193.0,,GER
Tomas Berdych,R,196.0,198.0,CZE
Tomas Carbonell,R,178.0,,ESP
Tomas Machac,R,183.0,,CZE
Tomas Martin Etcheverry,R,196.0,,ARG
Tomas Nydahl,R,185.0,,SWE
Tomas Zib,R,178.0,,CZE
Tommy Haas,R,188.0,188.0,GER
Tommy Ho,L,183.0,,USA
Tommy Paul,R,185.0,,USA
Tommy Robredo,R,180.0,,ESP
Torben Theine,L,183.0,,GER
Tsung Hua Yang,R,178.0,,TPE
Tung Lin Wu,R,188.0,,TPE
Tuomas Ketola,R,185.0,,FIN
Udo Riglewski,R,185.0,,GER
Ugo Humbert,L,188.0,,FRA
Ulf Stenlund,R,180.0,,SWE
Uros Vico,R,188.0,,ITA
Valentin Vacherot,R,193.0,,MON
Vasek Pospisil,R,193.0,,CAN
Vasilis Mazarakis,R,178.0,,GRE
Veli Paloheimo,R,183.0,,FIN
Victor Crivoi,R,185.0,,ROU
Victor Estrella,R,173.0,,DOM
Victor Hanescu,R,198.0,,ROU
Victor Sendin,R,175.0,,ESP
Viktor Troicki,R,193.0,,SRB
Vincent Millot,L,173.0,,FRA
Vincent Spadea,R,183.0,,USA
Vincenzo Santopadre,L,183.0,,ITA
Vit Kopriva,R,178.0,,CZE
Vladimir Gabrichidze,R,175.0,,GEO
Vladimir Voltchkov,R,180.0,,BLR
Wade Mcguire,R,188.0,,USA
Wally Masur,R,180.0,,AUS
Wayne Arthurs,L,190.0,,AUS
Wayne Black,R,170.0,,ZIM
Wayne Ferreira,R,185.0,,RSA
Wayne Odesnik,L,180.0,,USA
Werner Eschauer,R,188.0,,AUT
Wesley Moodie,R,196.0,,RSA
Wojtek Kowalski,R,183.0,,POL
Wolfgang Schranz,R,178.0,,AUT
Woong Sun Jun,R,190.0,,KOR
Xavier Daufresne,R,193.0,,BEL
Xavier Malisse,R,185.0,,BEL
Yan Bai,R,185.0,,CHN
Yannick Hanfmann,R,193.0,,GER
Yannick Noah,R,193.0,,FRA
Yasutaka Uchiyama,R,183.0,,JPN
Yen Hsun Lu,R,180.0,,TPE
Yevgeny Kafelnikov,R,190.0,190.0,RUS
Yi Zhou,R,193.0,,CHN
Yibing Wu,R,183.0,,CHN
Yoshihito Nishioka,L,170.0,,JPN
Yosuke Watanuki,R,180.0,,JPN
Younes El Aynaoui,R,193.0,,MAR
Yu Hsiou Hsu,R,178.0,,TPE
Yuichi Sugita,R,173.0,,JPN
Yuki Bhambri,R,185.0,,IND
Zachary Svajda,R,175.0,,USA
Ze Zhang,R,188.0,,CHN
Zeljko Krajan,R,178.0,,CRO
Zhe Li,R,183.0,,CHN
Zhizhen Zhang,R,193.0,,CHN
Zizou Bergs,R,185.0,,BEL
