trade_id,timestamp_entry_utc,timestamp_exit_utc,ticker,player_a,player_b,tournament,venue_city,venue_country,court_surface,court_type,altitude_m,temp_celsius,apparent_temp_c,humidity_pct,wind_speed_kmh,wind_direction_deg,precipitation_mm,sun_azimuth_deg,sun_elevation_deg,sun_glare_active,sun_description,p1_ranking,p1_rank_points,p1_age,p1_height_cm,p1_hand,p1_win_rate,p1_season_wins,p1_season_losses,p1_aces_per_match,p1_bp_conversion_pct,p1_first_serve_pct,p2_ranking,p2_rank_points,p2_age,p2_height_cm,p2_hand,p2_win_rate,p2_season_wins,p2_season_losses,p2_aces_per_match,p2_bp_conversion_pct,p2_first_serve_pct,rank_diff,age_diff,height_diff_cm,pts_vs_rank_raw,lh_net,alt_x_ht_component,alt_x_age_component,lh_hard_component,lh_clay_component,pts_rank_component,model_prob_ml_base,model_prob_nn,model_prob_xgb,logit_adj_age_temp,model_prob_after_age_temp,logit_adj_phys,model_prob_after_phys,model_prob_final_at_bet,markov_p_serve_initial,markov_p_serve_at_bet,markov_p_return_at_bet,bayesian_posterior_at_bet,serve_divergence,pts_vs_rank_edge,bayes_uncertainty,atp_first_serve_pct_a,atp_pts_won_1st_a,atp_first_serve_pct_b,atp_pts_won_1st_b,atp_break_pts_converted_a,atp_live_ticks_elapsed,score_sets_a,score_sets_b,score_games_a,score_games_b,score_points_a,score_points_b,p1_serving_at_bet,total_live_ticks,betting_on,yes_price_at_bet,no_price_at_bet,model_prob_for_side,market_price_for_side,edge_gross,fee_estimate,edge_net,kelly_fraction_raw,kelly_mult_convergence,kelly_mult_adaptive,kelly_mult_combined,flow_direction,flow_velocity_cents_per_s,flow_z_score,flow_vol_regime,stake_usdc,contracts_filled,entry_price_actual,order_id,latency_ms,exit_price,exit_reason,contracts_exited,pnl_usdc,roi_pct,outcome,kalshi_settlement_price,match_winner_was_a
20260426-0001-KWON-HOL-NO,2026-04-26T03:27:06.435412+00:00,,KXATPCHALLENGERMATCH-26APR25HOLKWON-HOL,Holmgren,Kwon,Unknown Tournament,,,,,0.0,nan,nan,nan,nan,nan,nan,nan,nan,False,,185,324.0,28.0,188.0,R,0.6008,12,11,8.09,60.6,65.5,350,142.0,28.0,180.0,R,0.5816,13,3,7.06,27.6,55.3,-165.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4510838239896289,0.36607494950294495,0.5785971357196548,0.0,0.46114282157712594,0.0,0.46114282157712594,0.46114282157712594,0.6402857053942815,0.6402857053942815,0.3402857053942815,0.6441,0.0,0.0,0.002830064074074074,nan,nan,nan,nan,nan,2,0,0,0,0,0,0,True,2,no,0.5,0.5,0.7989522452075036,0.5,0.29895224520750363,0.0175,0.2814522452075036,0.5979044904150073,1.0,1.0,1.0,NEUTRAL,-0.0,0.0,LOW,239.0,478,0.5,,313.91096115112305,,,,,,,,
20260426-0001-IYAM-WEI-NO,2026-04-26T04:19:24.401235+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,342.64749563456735,71.90099573764651,True,Sun: az=343° elev=71.9° | P1 faces 180° (penalty=0.0%) | P2 faces 0° (penalty=0.3%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,3,0,0,0,0,0,0,False,3,no,0.5,0.5,0.6256436399694068,0.5,0.12564363996940675,0.0175,0.10814363996940675,0.2512872799388135,1.0,1.0,1.0,NEUTRAL,-0.0,0.0,LOW,4.0,8,0.5,07d2e0e3-d115-4f4c-a09b-4dbd3afee608,852.3070812225342,,,,,,,,
20260426-0002-WGUO-KUW-NO,2026-04-26T04:21:51.356826+00:00,,KXWTACHALLENGERMATCH-26APR26KUWGUO-KUW,Kuwata,Guo,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,340.812545380229,71.73671702388289,True,Sun: az=341° elev=71.7° | P1 faces 180° (penalty=0.0%) | P2 faces 0° (penalty=0.3%),668,0.0,35.0,nan,R,0.4199,0,3,0.5,16.5,69.0,173,419.0,27.0,170.0,R,0.5978,9,6,1.29,42.4,60.1,495.0,8.0,15.0,0.0,0.0,0.0,0.001184,-0.0,0.0,0.0,0.13093366510520058,0.0015823857393115759,0.32496058415403406,0.0,0.13093366510520058,0.001184,0.1310684513955216,0.1310684513955216,0.5577334162763001,0.5577671128488804,0.2577671128488804,0.6518,0.0,0.0,0.002801935308641975,nan,nan,nan,nan,nan,4,0,0,0,0,0,0,False,4,no,0.5,0.5,0.9841745572069255,0.5,0.4841745572069255,0.0175,0.46667455720692547,0.968349114413851,1.0,1.0,1.0,NEUTRAL,-0.0,0.0,LOW,15.0,30,0.5,48903f82-eb97-472a-87cc-80be6735f4ca,723.8719463348389,,,,,,,,
20260426-0003-IYAM-WEI-YES,2026-04-26T04:23:03.325931+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,339.9252571231321,71.6504733318705,True,Sun: az=340° elev=71.7° | P1 faces 180° (penalty=0.0%) | P2 faces 0° (penalty=0.3%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,88,0,0,0,0,0,0,False,88,yes,0.5,0.5,0.6149806258772288,0.5,0.11498062587722879,0.0175,0.09748062587722879,0.22996125175445759,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,3.5,7,0.5,72c35600-531b-4523-af9b-35726404399a,1035.6760025024414,,,,,,,,
20260426-0004-IYAM-WEI-NO,2026-04-26T04:25:30.996044+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,338.1383099813725,71.46287135530035,True,Sun: az=338° elev=71.5° | P1 faces 0° (penalty=0.3%) | P2 faces 180° (penalty=0.0%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,143,0,0,0,0,0,0,False,143,no,0.5,0.5,0.6055980627255964,0.5,0.10559806272559635,0.0175,0.08809806272559635,0.2111961254511927,1.0,1.0,1.0,NEUTRAL,-0.0,0.0,LOW,3.0,6,0.5,1ad7a392-0087-4a67-9f66-096c4c6f238f,1340.101957321167,,,,,,,,
20260426-0001-IYAM-WEI-NO,2026-04-26T04:36:26.664296+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,330.60103734312224,70.44889276184651,True,Sun: az=331° elev=70.4° | P1 faces 180° (penalty=0.0%) | P2 faces 0° (penalty=0.3%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,3,0,0,0,0,0,0,False,3,no,0.71,0.34,0.5825003109481522,0.34,0.24250031094815222,0.015708000000000003,0.22679231094815222,0.3674247135578064,1.0,1.0,1.0,NEUTRAL,-0.0,0.0,LOW,57.800000000000004,170,0.34,67c2eb32-15c6-48d8-a5e0-9c1458731fd0,799.2880344390869,,,,,,,,
20260426-0002-IYAM-WEI-YES,2026-04-26T04:40:02.987219+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,328.2848747047421,70.05687722406273,True,Sun: az=328° elev=70.1° | P1 faces 180° (penalty=0.0%) | P2 faces 0° (penalty=0.3%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,97,0,0,0,0,0,0,False,97,yes,0.69,0.33,0.753230152507262,0.69,0.06323015250726205,0.014973000000000004,0.04825715250726205,0.2039682338943938,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,95.91,139,0.69,585b4429-1e5b-4f34-b693-eb3232b954b4,1574.5420455932617,,,,,,,,
20260426-0005-IYAM-WEI-YES,2026-04-26T04:40:05.826973+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,328.24277645323406,70.04936664420597,True,Sun: az=328° elev=70.0° | P1 faces 180° (penalty=0.0%) | P2 faces 0° (penalty=0.3%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,497,0,0,0,0,0,0,False,497,yes,0.69,0.33,0.753230152507262,0.69,0.06323015250726205,0.014973000000000004,0.04825715250726205,0.2039682338943938,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,4.83,7,0.69,c22a391e-6062-40bd-9f04-455a3fe17619,799.0739345550537,,,,,,,,
20260426-0006-IYAM-WEI-YES,2026-04-26T04:50:58.790187+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,321.75622696378764,68.71070741879976,True,Sun: az=322° elev=68.7° | P1 faces 0° (penalty=0.2%) | P2 faces 180° (penalty=0.0%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,747,0,0,0,0,0,0,False,747,yes,0.71,0.32,0.8697347331979374,0.71,0.1597347331979374,0.014413000000000002,0.1453217331979374,0.5508094248204739,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,13.489999999999998,19,0.71,4c6d0946-331c-4bac-9d65-c3df178d67a3,571.983814239502,,,,,,,,
20260426-0003-IYAM-WEI-YES,2026-04-26T04:50:59.245864+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,321.75622696378764,68.71070741879976,True,Sun: az=322° elev=68.7° | P1 faces 0° (penalty=0.2%) | P2 faces 180° (penalty=0.0%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,79,0,0,0,0,0,0,False,79,yes,0.71,0.32,0.8697347331979374,0.71,0.1597347331979374,0.014413000000000002,0.1453217331979374,0.5508094248204739,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,249.92,352,0.71,298bce7e-b991-4571-a1a9-1317b25bfd7e,442.1498775482178,,,,,,,,
20260426-0004-IYAM-WEI-YES,2026-04-26T04:53:33.378474+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,320.3365547346791,68.36495666641346,True,Sun: az=320° elev=68.4° | P1 faces 0° (penalty=0.2%) | P2 faces 180° (penalty=0.0%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,147,0,0,0,0,0,0,False,147,yes,0.5,0.5,0.8697347331979374,0.5,0.36973473319793737,0.0175,0.35223473319793736,0.7394694663958747,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,250.0,500,0.5,5a7b63cd-ca77-4cd6-b42a-4bec455e5ade,716.4528369903564,,,,,,,,
20260426-0007-IYAM-WEI-YES,2026-04-26T04:53:34.012439+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,320.3274700219205,68.36267712292305,True,Sun: az=320° elev=68.4° | P1 faces 0° (penalty=0.2%) | P2 faces 180° (penalty=0.0%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,815,0,0,0,0,0,0,False,815,yes,0.5,0.5,0.8697347331979374,0.5,0.36973473319793737,0.0175,0.35223473319793736,0.7394694663958747,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,12.0,24,0.5,72994ee9-e153-45c3-9e7f-c67cb3905999,748.7001419067383,,,,,,,,
20260426-0008-IYAM-WEI-YES,2026-04-26T04:56:47.491654+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,318.6060011491794,67.91471653135807,True,Sun: az=319° elev=67.9° | P1 faces 0° (penalty=0.2%) | P2 faces 180° (penalty=0.0%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,900,0,0,0,0,0,0,False,900,yes,0.91,0.1,1.0,0.91,0.08999999999999997,0.0057329999999999985,0.08426699999999997,1.0,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,14.56,16,0.91,05971fe1-e157-4c2a-8adf-494b8643823d,581.9809436798096,,,,,,,,
20260426-0005-IYAM-WEI-YES,2026-04-26T04:57:03.178022+00:00,,KXWTACHALLENGERMATCH-26APR25WEIYAM-WEI,Wei,Yamazaki,Huzhou Open,Huzhou,中国,unknown,,4.0,nan,nan,nan,nan,nan,nan,318.4661086005196,67.8768806238914,True,Sun: az=318° elev=67.9° | P1 faces 0° (penalty=0.2%) | P2 faces 180° (penalty=0.0%),382,160.0,22.0,nan,,0.651,0,3,0.0,12.0,73.0,457,123.0,24.0,nan,,0.5108,1,5,0.0,50.0,70.0,-75.0,-2.0,0.0,0.08372667757377988,0.0,0.0,-0.000296,-0.0,0.0,0.0820600980566738,0.3066031759393487,0.17419488728046417,0.5052156089276755,0.0,0.2656670265085363,0.0817640980566738,0.28192059016920695,0.28192059016920695,0.5914167566271341,0.5954801475423017,0.29548014754230173,0.6606,0.0,0.0820600980566738,0.0027679955555555556,nan,nan,nan,nan,nan,240,0,0,0,0,0,0,False,240,yes,0.91,0.1,1.0,0.91,0.08999999999999997,0.0057329999999999985,0.08426699999999997,1.0,1.0,1.0,1.0,NEUTRAL,0.0,0.0,LOW,249.34,274,0.91,6d7a7128-09ce-4c05-ae6d-37e68ee312d8,783.9312553405762,,,,,,,,
